applicationSignatureDate,applicationReceivedDate,coverageChangeEffectiveDate,getCoverageMaintenanceToken,Number,companyCode,personNumber,nameType,firstName,lastName,addressLine1,cityName,stateCode,zipCode,coverageRecordNumber,insuredRelation,code,productCode,productDescription,baseRiderIndicator,amt,inflatedBenefitAmount,premiumClass,coverageStatus,singlePayAmount,preArrangedBenefit,guaranteedBenefitAmount,increaseType
6/15/2020,6/15/2020,6/15/2020,F2Bg==,R000000001,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/15/2020,6/15/2020,6/15/2020,F2Kw==,R000000002,PLI,1,,Rrr,Ktr                          ,8 Saint Augu Rd                        ,Colgate                     ,AY,53017,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/16/2020,6/16/2020,6/16/2020,F2Dg==,R000000003,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/16/2020,6/16/2020,6/16/2020,F2Dw==,R000000004,PLI,1,,Rrr,Ktr                          ,8 Saint Augu Rd                        ,Colgate                     ,AY,53017,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/17/2020,6/17/2020,6/17/2020,F2BPg==,R000000005,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/17/2020,6/17/2020,6/17/2020,F2Pw==,R000000006,PLI,1,,Rrr,Ktr                          ,8 Saint Augu Rd                        ,Colgate                     ,AY,53017,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/18/2020,6/18/2020,6/18/2020,nhqyGdnRsghjkeygx5h7fhjvBg==,R000000007,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/18/2020,6/18/2020,6/18/2020,ghed67ghhsjgvhsgshhd9w==,R000000008,PLI,1,,Rrr,Ktr                          ,8 Saint Augu Rd                        ,Colgate                     ,AY,53017,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/15/2020,6/15/2020,6/15/2020,F2Bg11==,R000000009,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/15/2020,6/15/2020,6/15/2020,F2Kw12==,R0000000010,PLI,1,,Rrr,Ktr                          ,8 Saint Augu Rd                        ,Colgate                     ,AY,53017,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/16/2020,6/16/2020,6/16/2020,F2Dg13==,R0000000011,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/16/2020,6/16/2020,6/16/2020,F2Dw14==,R0000000012,PLI,1,,Rrr,Ktr                          ,8 Saint Augu Rd                        ,Colgate                     ,AY,53017,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/17/2020,6/17/2020,6/17/2020,F2BPg15==,R0000000013,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/17/2020,6/17/2020,6/17/2020,F2Pw1678==,R0000000014,PLI,1,,Rrr,Ktr                          ,8 Saint Augu Rd                        ,Colgate                     ,AY,53017,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/18/2020,6/18/2020,6/18/2020,nhqyGdnRsghjkeygx5h7fhjvBghello==,R0000000015,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/18/2020,6/18/2020,6/18/2020,ghed67ghhsjgvhsgshhd9world==,R0000000016,PLI,1,,Rrr,Ktr                          ,8 Saint Augu Rd                        ,Colgate                     ,AY,53017,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/15/2020,6/15/2020,6/15/2020,F2Bg22==,R0000000017,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/15/2020,6/15/2020,6/15/2020,F2Kw33==,R0000000018,PLI,1,,Rrr,Ktr                          ,8 Saint Augu Rd                        ,Colgate                     ,AY,53017,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/16/2020,6/16/2020,6/16/2020,F2Dg44==,R0000000019,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/16/2020,6/16/2020,6/16/2020,F2Dw55==,R0000000020,PLI,1,,Rrr,Ktr                          ,8 Saint Augu Rd                        ,Colgate                     ,AY,53017,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/17/2020,6/17/2020,6/17/2020,F2BPg66==,R0000000021,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/17/2020,6/17/2020,6/17/2020,F2Pw77==,R0000000022,PLI,1,,Rrr,Ktr                          ,8 Saint Augu Rd                        ,Colgate                     ,AY,53017,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
6/18/2020,6/18/2020,6/18/2020,nhqyGdnRsghjkeygx5h7fhjvBgthhyte==,R0000000023,PLI,1,,Gggg,New                        ,2 Section Rd                          ,Green                 ,AX,357508776,1,I,L77P0,GIL,Whole Life,B,5000,5000,{'code': 'N'},A01,0,0,0,
